frequency_hz,rocof_hz_s,voltage_pu,total_demand_mw,total_gen_mw,net_power_deficit_mw,line_loading_pct,solar_gen_mw,wind_gen_mw,battery_soc_pct,ev_load_mw,industrial_load_mw,datacenter_load_mw,hospital_load_mw,fault_type,blackout_risk_pct,highest_risk_sector,recommended_prevention
50.099,0.1336,1.0043,97.68,104.74,-7.06,69.5,29.51,10.23,80.0,7.14,28.64,10.07,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.911,-0.1366,0.9968,113.27,102.01,11.26,81.56,26.64,10.37,79.1,22.51,28.49,9.82,8.0,EV_SURGE,14.2,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.981,-0.0621,1.0016,101.73,97.28,4.45,72.26,12.43,19.85,43.6,7.06,31.31,9.99,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.09,0.1583,1.0037,99.59,107.12,-7.52,69.84,30.93,11.19,74.2,7.3,29.06,10.01,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.08,0.0765,1.0026,101.84,103.55,-1.71,73.08,31.87,6.68,55.3,7.55,29.66,10.33,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
49.933,-0.0876,1.001,100.84,93.64,7.2,71.73,21.24,7.4,58.1,7.25,31.2,10.19,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
50.295,0.4359,1.0028,98.46,119.96,-21.5,70.64,34.99,19.97,51.6,6.64,29.75,10.04,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.872,-0.271,0.9942,118.3,100.69,17.62,84.58,21.6,14.09,62.1,23.41,30.76,10.14,8.0,EV_SURGE,21.3,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
50.038,0.0711,1.0011,99.34,100.68,-1.34,71.51,21.51,14.17,67.8,7.33,30.09,9.31,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.918,-0.127,0.9934,111.86,101.49,10.37,79.64,25.56,10.93,58.2,7.16,30.28,21.04,8.0,DATACENTER_SPIKE,13.4,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
50.021,0.045,0.9964,100.01,100.69,-0.68,71.65,21.61,14.08,61.3,7.13,29.57,9.39,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.2,0.3301,1.0057,102.72,115.93,-13.21,72.57,34.03,16.9,64.9,6.92,30.95,10.74,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.038,0.1396,1.0012,97.56,104.02,-6.46,70.13,28.95,10.06,48.5,6.59,28.68,9.51,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.925,-0.0571,0.9999,99.88,93.98,5.9,71.3,9.14,19.84,84.3,7.24,29.69,10.07,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.863,-0.1847,1.0003,118.36,100.44,17.92,85.18,19.59,15.85,65.7,6.94,47.87,9.59,8.0,INDUSTRIAL_INRUSH,18.8,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
49.874,-0.2432,1.0049,99.67,83.88,15.79,71.57,2.28,16.6,66.0,7.43,30.14,9.95,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.709,-0.502,0.988,113.47,85.03,28.43,81.24,2.97,17.06,45.4,7.29,41.01,10.25,8.0,INDUSTRIAL_INRUSH,25.9,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.018,0.0279,0.9973,100.33,100.73,-0.4,72.38,22.01,13.72,30.0,7.65,28.87,10.1,8.0,BESS_OUTAGE,26.7,BESS_STATION,Emergency demand-response load curtailment. Fast-trip substation feeder protection armed.
49.873,-0.1731,0.998,114.82,100.91,13.91,82.86,23.37,12.54,84.1,20.13,31.82,9.8,8.0,EV_SURGE,16.5,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.891,-0.2521,0.9956,115.58,99.63,15.95,82.73,16.4,18.23,78.7,6.9,44.44,9.88,8.0,INDUSTRIAL_INRUSH,17.2,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.228,0.3084,1.0011,99.72,115.24,-15.52,71.66,33.85,16.4,74.6,6.69,28.78,10.18,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.973,-0.0497,1.0056,97.31,94.41,2.9,69.05,9.5,19.9,45.5,6.69,28.57,9.32,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.988,0.0515,1.0003,99.8,100.81,-1.01,71.56,22.69,13.12,82.8,6.71,30.39,9.8,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.881,-0.2218,0.993,115.72,101.45,14.27,83.22,25.46,10.99,45.5,22.39,30.61,9.97,8.0,EV_SURGE,19.8,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.777,-0.2826,0.9883,120.2,93.71,26.49,86.75,8.91,19.8,63.5,29.08,30.02,9.76,8.0,EV_SURGE,31.2,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
50.04,0.0964,0.9986,100.06,103.64,-3.58,70.49,28.63,10.01,73.7,6.89,29.9,10.0,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.899,-0.1438,0.9952,112.19,101.67,10.52,79.01,26.0,10.68,78.9,20.01,29.76,9.31,8.0,EV_SURGE,12.0,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.975,-0.1338,0.9997,97.88,88.97,8.92,69.63,4.05,19.92,54.6,6.83,30.29,9.65,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
49.927,-0.1572,1.0005,113.18,100.76,12.42,81.53,22.26,13.5,76.3,7.25,42.69,9.56,8.0,INDUSTRIAL_INRUSH,11.6,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
49.969,-0.067,0.9986,100.67,95.2,5.47,72.08,15.8,14.4,68.5,7.0,31.05,9.7,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.153,0.2674,0.9986,98.74,108.87,-10.13,70.75,34.99,8.88,46.1,7.52,29.5,10.02,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
49.951,-0.0931,0.9949,108.53,98.89,9.64,77.19,14.79,19.1,43.4,7.13,28.84,20.54,8.0,DATACENTER_SPIKE,7.9,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.802,-0.2614,0.9896,108.36,81.68,26.68,78.46,0.98,15.7,71.6,6.36,29.06,18.96,8.0,DATACENTER_SPIKE,17.9,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.87,-0.2259,0.9947,97.1,82.96,14.14,69.65,1.73,16.23,73.6,6.92,27.82,10.87,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.65,1.1308,1.0195,99.45,119.08,-19.62,71.68,34.79,19.28,39.8,6.94,29.49,10.3,8.0,BESS_OUTAGE,25.0,BESS_STATION,Emergency demand-response load curtailment. Fast-trip substation feeder protection armed.
49.968,-0.0626,0.9944,101.22,97.08,4.14,71.75,12.19,19.89,79.3,7.12,31.58,9.66,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.348,0.6174,1.0112,100.67,111.63,-10.97,71.27,32.76,13.87,39.5,7.27,29.14,10.57,8.0,BESS_OUTAGE,25.0,BESS_STATION,Emergency demand-response load curtailment. Fast-trip substation feeder protection armed.
49.874,-0.2243,0.9958,114.45,100.28,14.17,82.63,18.64,16.64,54.4,21.97,30.99,9.52,8.0,EV_SURGE,17.5,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.891,-0.2346,0.9942,111.78,96.52,15.26,79.69,11.55,19.97,66.6,6.85,42.95,9.93,8.0,INDUSTRIAL_INRUSH,13.8,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
49.771,-0.4059,0.9889,115.11,88.91,26.21,82.55,5.41,18.5,82.1,22.68,28.91,9.91,8.0,EV_SURGE,25.1,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
50.248,0.4394,1.0048,101.47,117.63,-16.17,73.28,34.46,18.18,78.7,7.17,30.67,9.96,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.926,-0.1335,0.9983,100.98,92.8,8.18,72.53,7.82,19.98,61.3,6.91,29.42,9.99,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.249,0.3703,1.0083,99.21,119.31,-20.1,71.82,34.85,19.46,84.2,7.63,30.06,10.25,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.853,-0.2185,0.9945,120.81,100.9,19.91,86.49,23.31,12.59,53.4,27.64,30.72,9.8,8.0,EV_SURGE,24.4,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.91,-0.1464,0.9994,111.74,101.58,10.16,80.78,25.78,10.8,66.2,7.11,42.12,9.9,8.0,INDUSTRIAL_INRUSH,11.4,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.035,0.1007,0.9984,96.66,100.66,-3.99,68.7,21.32,14.34,61.6,7.12,29.2,10.03,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.68,-0.6769,0.9874,117.0,86.91,30.09,84.48,4.12,17.78,74.7,28.77,28.29,9.23,8.0,EV_SURGE,31.8,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.934,-0.1866,0.9974,99.0,85.57,13.43,70.56,2.13,18.44,60.9,6.87,29.55,9.91,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
49.918,-0.1678,0.9946,101.32,88.99,12.33,71.66,5.46,18.53,68.2,7.14,30.6,9.94,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.217,0.4069,1.0067,97.62,116.3,-18.68,69.66,34.13,17.18,56.7,6.87,28.83,9.92,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.887,-0.1746,0.9974,99.09,88.37,10.72,70.76,12.55,10.82,83.9,6.96,30.6,9.5,8.0,SOLAR_DROP,5.4,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.064,0.1568,1.0072,100.23,105.84,-5.61,71.41,30.23,10.61,67.0,6.95,29.41,9.87,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.808,-0.2626,0.9891,109.5,88.53,20.98,78.54,5.16,18.37,40.2,7.5,40.64,9.99,8.0,INDUSTRIAL_INRUSH,18.2,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.021,-0.0396,0.9943,98.29,95.82,2.47,69.89,10.82,20.0,77.3,6.94,29.31,10.24,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.99,-0.0719,1.001,110.16,105.33,4.83,79.38,29.91,10.42,77.2,6.88,29.72,20.68,8.0,DATACENTER_SPIKE,6.5,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.982,-0.0522,0.9947,95.36,92.06,3.3,68.27,7.61,19.45,74.0,7.07,28.44,9.42,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.851,-0.2492,0.9937,112.28,96.69,15.59,80.75,11.74,19.95,49.3,6.93,29.54,22.66,8.0,DATACENTER_SPIKE,16.9,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
50.253,0.3843,1.0056,99.34,119.63,-20.29,69.94,34.92,19.71,74.0,7.02,29.9,10.02,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.038,0.1225,0.9986,101.49,103.28,-1.79,72.28,28.28,10.0,62.8,7.64,30.97,10.06,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.099,0.1148,1.0052,112.63,119.98,-7.35,81.03,35.0,19.99,77.1,7.59,42.34,10.71,8.0,INDUSTRIAL_INRUSH,8.4,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.106,0.1679,1.002,103.51,107.16,-3.65,73.97,30.95,11.21,29.6,6.89,31.81,10.06,8.0,BESS_OUTAGE,25.0,BESS_STATION,Emergency demand-response load curtailment. Fast-trip substation feeder protection armed.
49.876,-0.2805,0.9956,98.37,80.55,17.81,70.03,4.88,10.67,52.4,6.84,30.2,9.99,8.0,WIND_STALL,6.9,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
49.743,-0.5623,0.996,112.05,83.93,28.12,80.33,2.31,16.62,83.7,7.25,30.46,20.67,8.0,DATACENTER_SPIKE,18.5,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.965,-0.0808,0.9965,100.68,99.39,1.29,72.48,15.81,18.58,58.4,6.78,30.5,10.25,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.015,0.0062,1.0002,119.72,119.81,-0.09,85.93,34.96,19.85,48.7,26.52,30.09,10.1,8.0,EV_SURGE,15.3,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.877,-0.2266,0.9923,115.21,101.2,14.0,82.54,24.71,11.49,67.5,7.26,29.84,24.31,8.0,DATACENTER_SPIKE,19.5,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.929,-0.0786,0.9951,100.03,98.74,1.29,71.58,14.52,19.21,63.0,6.83,31.07,10.2,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.734,-0.3942,0.9891,122.0,94.41,27.59,87.79,9.51,19.91,51.9,27.2,29.88,10.65,8.0,EV_SURGE,33.6,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
50.528,0.9108,1.0241,99.83,115.67,-15.84,70.97,33.96,16.71,30.5,6.94,30.33,10.1,8.0,BESS_OUTAGE,25.0,BESS_STATION,Emergency demand-response load curtailment. Fast-trip substation feeder protection armed.
50.061,0.1275,0.9995,100.94,105.99,-5.05,71.72,30.32,10.67,77.9,7.08,30.94,10.47,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.085,0.1883,1.0031,99.63,107.52,-7.89,70.51,31.13,11.4,47.2,6.89,30.23,10.04,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.914,-0.1071,0.9953,114.73,104.31,10.42,82.57,29.19,10.12,48.0,24.04,29.16,9.54,8.0,EV_SURGE,16.4,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
50.164,0.1853,1.0014,101.8,113.15,-11.36,72.33,33.25,14.91,67.6,7.44,30.45,10.41,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.012,0.0778,0.9961,97.74,100.63,-2.89,69.67,21.11,14.52,52.7,6.59,28.83,9.39,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.032,0.0566,1.0028,99.71,102.56,-2.85,71.55,27.46,10.1,84.9,6.7,29.73,9.53,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.917,-0.2768,0.9942,117.14,100.89,16.25,84.67,23.23,12.66,58.2,7.56,47.5,9.71,8.0,INDUSTRIAL_INRUSH,19.9,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
49.888,-0.1988,0.996,115.15,100.6,14.55,82.27,20.8,14.8,79.0,6.67,31.18,23.63,8.0,DATACENTER_SPIKE,16.4,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.957,-0.0799,0.9972,102.28,95.02,7.26,72.57,10.05,19.97,57.2,7.08,31.63,10.18,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.032,0.0752,0.9988,99.05,100.58,-1.53,70.71,20.62,14.96,32.1,7.43,28.02,9.4,8.0,BESS_OUTAGE,25.8,BESS_STATION,Emergency demand-response load curtailment. Fast-trip substation feeder protection armed.
50.269,0.5696,1.0049,97.26,119.37,-22.11,69.05,34.86,19.51,68.3,6.58,28.56,10.06,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.067,0.1013,1.002,97.91,102.79,-4.88,69.88,27.75,10.05,63.2,7.22,29.41,10.11,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.892,-0.1207,0.9969,112.54,100.95,11.58,81.32,23.61,12.35,65.1,22.08,28.85,9.64,8.0,EV_SURGE,14.4,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
50.035,0.0641,1.0034,98.32,100.92,-2.6,70.9,23.42,12.5,84.8,7.06,29.43,9.88,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.923,-0.0593,0.9972,101.56,100.05,1.51,72.44,29.2,5.85,84.4,7.37,31.83,9.62,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
49.814,-0.3815,0.9914,108.78,82.62,26.16,78.41,1.53,16.08,61.3,6.79,31.27,17.95,8.0,DATACENTER_SPIKE,16.4,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.98,-0.0784,0.9968,100.54,93.61,6.93,71.78,18.96,9.65,58.3,6.65,29.67,9.96,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
49.908,-0.1769,0.9993,115.0,100.88,14.12,82.15,23.2,12.68,55.6,7.48,45.33,10.19,8.0,INDUSTRIAL_INRUSH,13.5,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.055,0.102,1.0038,98.49,102.26,-3.77,71.06,27.03,10.22,54.9,6.86,29.65,10.12,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.06,0.1029,1.0034,97.92,101.97,-4.05,70.44,26.57,10.4,62.2,6.9,28.5,9.94,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.999,-0.0469,0.9945,98.71,98.04,0.67,70.98,13.43,19.61,82.2,6.46,31.09,9.03,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.89,-0.1824,0.9955,98.74,84.72,14.02,70.77,6.7,13.02,44.4,6.7,29.28,9.68,8.0,SOLAR_DROP,6.4,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.289,0.4277,1.0094,97.7,116.28,-18.57,69.02,34.12,17.16,58.6,7.25,29.4,9.81,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.984,-0.0688,0.9971,101.3,97.33,3.97,72.78,12.49,19.84,74.9,7.5,31.61,9.66,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.87,-0.2614,0.9936,97.29,80.26,17.03,69.41,0.15,15.11,54.2,6.77,29.34,9.58,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.954,-0.175,0.9984,111.61,101.3,10.3,80.33,25.05,11.26,69.5,7.68,41.63,9.31,8.0,INDUSTRIAL_INRUSH,10.0,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
49.927,-0.1273,0.9984,100.23,92.93,7.3,71.03,10.14,17.8,59.2,6.94,30.55,10.54,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
49.722,-0.6251,0.9951,119.19,90.2,28.99,85.64,6.28,18.92,60.4,6.82,49.21,10.73,8.0,INDUSTRIAL_INRUSH,27.2,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.235,0.471,1.0069,101.22,118.67,-17.45,72.54,34.7,18.97,42.2,7.16,31.99,9.63,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.958,-0.0463,0.9989,101.62,100.67,0.95,72.47,21.48,14.2,51.1,7.6,29.33,10.5,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.931,-0.1812,0.9895,102.88,91.93,10.95,73.39,20.61,6.32,67.1,6.71,30.34,10.89,8.0,WIND_STALL,8.8,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
50.025,0.1003,0.996,96.92,100.95,-4.03,69.47,23.57,12.37,65.6,6.89,28.26,9.27,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.879,-0.1658,1.0001,101.79,86.45,15.34,72.14,3.84,17.61,43.8,7.17,29.27,10.44,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.997,-0.0306,1.006,100.35,99.81,0.54,71.2,29.14,5.68,79.1,6.67,30.18,9.31,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
49.838,-0.2682,0.9947,99.54,80.26,19.28,71.62,4.91,10.35,42.3,7.13,29.09,10.24,8.0,SOLAR_DROP,8.7,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.415,0.5986,1.016,100.54,114.7,-14.16,71.12,33.7,16.0,21.3,6.52,29.13,10.19,8.0,BESS_OUTAGE,25.0,BESS_STATION,Emergency demand-response load curtailment. Fast-trip substation feeder protection armed.
50.066,0.1108,1.0077,99.05,105.14,-6.09,70.08,32.75,7.39,63.5,7.2,29.29,10.03,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
50.042,0.0753,1.0033,100.49,105.01,-4.52,72.0,29.7,10.31,52.5,6.82,30.3,10.13,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.984,-0.0735,1.002,107.1,101.0,6.1,76.62,23.85,12.15,51.9,6.6,30.64,17.8,8.0,DATACENTER_SPIKE,5.0,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
